flight_no,airline,origin,destination,dep_hour,weather,delay_minutes
UA1948,IndiGo,TPA,IAH,15,CLEAR,-21
DL662,Delta,DTW,SEA,15,FOG,1
DL831,Delta,DTW,BWI,15,CLOUDY,-8
DL2524,Delta,ATL,VPS,15,STORM,-6
OO5529,Akasa Air,MSP,SFO,15,STORM,-24
OO5759,SpiceJet,DEN,COS,15,CLEAR,-5
DL582,Delta,DTW,LGA,15,FOG,-8
DL817,Delta,PHX,SEA,15,FOG,35
EV4118,Akasa Air,CAK,EWR,15,RAIN,10
OO5690,Akasa Air,SFO,RNO,15,FOG,31
OO4511,SpiceJet,DTW,SBN,15,RAIN,22
UA1818,AirAsia,CLE,RSW,15,RAIN,25
UA1893,GoAir,FLL,EWR,15,SNOW,-19
DL840,Delta,DTW,PHL,15,FOG,-13
DL1144,Delta,DTW,DCA,15,CLOUDY,15
MQ3461,AirAsia,SPS,DFW,15,STORM,-18
OO3493,GoAir,SBA,PDX,15,STORM,-10
DL2152,Delta,JFK,FLL,15,STORM,12
DL87,Delta,DTW,MSP,15,CLEAR,-13
DL147,Delta,SLC,ATL,15,STORM,-18
DL1116,Delta,MDW,ATL,15,RAIN,-13
DL2465,Delta,BDL,ATL,15,SNOW,-14
EV4877,AirAsia,XNA,ATL,15,RAIN,-7
EV5024,IndiGo,AGS,ATL,15,STORM,-8
EV5137,AirAsia,LGA,CLE,15,STORM,-10
EV5314,Air India,DTW,BGR,15,STORM,-10
F91197,GoAir,MCO,IND,15,FOG,-31
F9694,GoAir,DEN,CID,15,CLEAR,-13
HA26,Vistara,HNL,PDX,15,SNOW,-18
MQ3084,Akasa Air,DSM,ORD,15,RAIN,-7
MQ3321,Vistara,DFW,ROW,15,CLEAR,0
NK171,Spirit Airlines,LGA,FLL,15,STORM,-38
OO4659,Vistara,SLC,BZN,15,CLOUDY,-5
OO5244,AirAsia,DEN,HDN,15,CLEAR,-6
OO6303,Akasa Air,ORD,DAY,15,STORM,-9
UA1636,Air India,HNL,LAX,15,SUNNY,2
UA212,Akasa Air,EWR,SFO,15,RAIN,0
WN5241,Akasa Air,DCA,MKE,15,CLEAR,-15
WN1254,Akasa Air,DEN,ATL,15,CLEAR,-4
WN284,AirAsia,ATL,MDW,15,SNOW,-15
WN3353,GoAir,AUS,HRL,15,RAIN,14
WN5052,GoAir,BWI,TPA,15,STORM,41
WN5473,SpiceJet,FLL,AUS,15,RAIN,-3
WN501,SpiceJet,LAS,DEN,15,RAIN,53
WN663,AirAsia,LAS,ONT,15,STORM,-6
WN1755,AirAsia,LAX,MDW,15,SNOW,-26
WN5215,SpiceJet,MCO,STL,15,SUNNY,-5
WN5628,Air India,MDW,PHX,15,SUNNY,0
WN1395,IndiGo,MSY,ATL,15,SUNNY,-13
WN5525,Akasa Air,OAK,LAX,15,RAIN,-1
WN2144,Vistara,PHX,ELP,15,RAIN,8
WN857,Air India,SLC,DEN,15,SUNNY,-8
AA1167,American Airlines,PBI,DFW,15,STORM,-27
AA1235,American Airlines,DFW,ELP,15,SUNNY,-12
AA1334,American Airlines,MIA,MCO,15,RAIN,13
AA2212,American Airlines,DFW,STL,15,CLEAR,-31
AA2389,American Airlines,DFW,SNA,15,RAIN,-3
AA1605,American Airlines,MIA,DFW,15,FOG,5
AA1806,American Airlines,PHL,CLT,15,FOG,-5
B61075,Akasa Air,PVD,MCO,15,RAIN,-21
MQ3364,Air India,ORD,LEX,15,FOG,-6
UA361,GoAir,LAS,SFO,15,STORM,-9
AA284,American Airlines,HNL,LAX,15,SUNNY,19
B6533,Air India,BDL,TPA,15,CLEAR,-24
DL2107,Delta,DTW,SAN,15,SUNNY,-3
EV5183,GoAir,MGM,ATL,15,SUNNY,-7
OO6203,AirAsia,DEN,DFW,15,CLEAR,51
DL1103,Delta,FLL,MSP,15,STORM,9
EV4212,SpiceJet,EWR,CLT,15,SNOW,-5
EV4885,Air India,TLH,ATL,15,FOG,11
HA287,Air India,KOA,HNL,15,RAIN,2
MQ3050,GoAir,XNA,DFW,15,SUNNY,-8
MQ3206,IndiGo,JFK,CVG,15,FOG,4
UA1205,IndiGo,KOA,LAX,15,CLOUDY,-24
UA1704,SpiceJet,EWR,DEN,15,SUNNY,22
UA1967,IndiGo,EWR,TPA,15,CLOUDY,-10
UA260,IndiGo,EWR,AUS,15,RAIN,1
UA314,AirAsia,LAX,DEN,15,CLOUDY,-18
DL1621,Delta,DTW,TPA,15,STORM,9
DL1942,Delta,EWR,ATL,15,RAIN,8
DL53,Delta,MSP,DTW,15,SNOW,-1
DL415,Delta,JFK,SFO,15,CLEAR,-35
DL715,Delta,MSP,EWR,15,RAIN,-16
DL1307,Delta,ATL,RIC,15,SUNNY,-12
DL2319,Delta,MSP,LGA,15,SNOW,-18
DL2322,Delta,MIA,MSP,15,CLEAR,-7
DL2430,Delta,MCO,ATL,15,SUNNY,-5
EV2785,SpiceJet,DFW,BRO,15,SUNNY,NA
EV3845,SpiceJet,ORD,TVC,15,RAIN,26
EV4580,GoAir,EWR,MKE,15,FOG,-9
EV4876,Vistara,DTW,RIC,15,FOG,4
EV5440,Vistara,ATL,BTR,15,SNOW,-18
F9410,Air India,LAX,DEN,15,STORM,92
F9765,AirAsia,DEN,LAS,15,STORM,-4
MQ3164,IndiGo,ORD,FNT,15,CLEAR,-10
MQ3410,SpiceJet,ORD,TOL,15,CLOUDY,0
OO4514,AirAsia,SLC,ORD,15,CLEAR,-20
OO4602,IndiGo,DAY,MSP,15,CLEAR,2
OO4709,IndiGo,SMF,SEA,15,CLOUDY,-17
VX767,AirAsia,LGA,DAL,15,CLOUDY,-2
VX932,Akasa Air,SFO,LAX,15,CLOUDY,22
WN3949,AirAsia,DAL,ATL,15,FOG,-6
WN1247,GoAir,DCA,MCI,15,STORM,-2
WN5175,IndiGo,DEN,ABQ,15,SUNNY,3
WN3262,AirAsia,BNA,MSY,15,CLOUDY,-5
WN2391,SpiceJet,TUS,SAN,15,SUNNY,-7
WN1282,GoAir,ELP,DAL,15,CLEAR,89
WN2298,SpiceJet,FLL,ATL,15,RAIN,-5
WN3470,IndiGo,HOU,DAL,15,SUNNY,-8
WN1140,Air India,ISP,MCO,15,FOG,-3
WN3869,GoAir,JAX,BNA,15,CLEAR,-7
WN381,AirAsia,MCO,MCI,15,SUNNY,-8
WN994,AirAsia,MDW,LAS,15,CLEAR,-7
WN605,Vistara,MDW,MCI,15,CLEAR,14
WN2596,Air India,MKE,RSW,15,SUNNY,35
WN3974,Air India,PHX,SEA,15,FOG,-13
WN657,Akasa Air,SAN,DEN,15,CLEAR,-17
WN3793,SpiceJet,SAN,LAS,15,CLEAR,-9
AA117,American Airlines,JFK,LAX,15,SUNNY,20
AA232,American Airlines,DFW,ATL,15,FOG,-21
AA1300,American Airlines,DFW,MSY,15,CLOUDY,-14
AA1327,American Airlines,DFW,PHL,15,SNOW,-31
AA2390,American Airlines,ORD,PHX,15,FOG,-1
AA2435,American Airlines,MIA,LAX,15,CLOUDY,0
AA650,American Airlines,DFW,CLT,15,SNOW,-11
AA768,American Airlines,MCO,PHL,15,STORM,-6
AA794,American Airlines,IND,CLT,15,SNOW,-10
AA871,American Airlines,PHL,TPA,15,CLEAR,-19
AA1763,American Airlines,CLE,CLT,15,FOG,10
AA1888,American Airlines,FLL,PHL,15,FOG,7
AA2067,American Airlines,PIT,CLT,15,CLEAR,6
AA2107,American Airlines,JAX,CLT,15,RAIN,27
B6340,Vistara,SJU,STX,15,CLOUDY,0
B6532,Vistara,LGB,SLC,15,SUNNY,-12
B6431,Akasa Air,LGA,SRQ,15,SNOW,27
AS29,Alaska Airlines,ORD,SEA,15,SUNNY,-3
AS49,Alaska Airlines,ANC,ADQ,15,FOG,-7
AS507,Alaska Airlines,SNA,SEA,15,CLEAR,-19
AS682,Alaska Airlines,SEA,DEN,15,CLOUDY,9
DL2439,Delta,ATL,DAB,15,SUNNY,35
EV4931,AirAsia,DTW,OMA,15,SUNNY,16
MQ3285,Akasa Air,BMI,DFW,15,CLOUDY,-9
UA745,AirAsia,LGA,DEN,15,FOG,-10
UA1896,Vistara,LAX,ORD,15,CLOUDY,-41
EV5981,AirAsia,DTW,EWR,15,SNOW,-13
OO4759,Vistara,MSP,LSE,15,CLEAR,-8
OO5637,Air India,PHX,SFO,15,SNOW,-18
UA481,Vistara,DEN,LAX,15,STORM,-19
UA592,GoAir,BOI,DEN,15,SUNNY,50
B6808,AirAsia,SJU,BOS,15,RAIN,31
DL1434,Delta,HNL,LAX,15,STORM,-13
EV5465,GoAir,CHS,ATL,15,SUNNY,-8
NK534,Spirit Airlines,MCO,CLE,15,CLEAR,-7
AA327,American Airlines,DCA,DFW,15,SUNNY,-9
DL2174,Delta,DTW,BOS,15,SNOW,0
NK683,Spirit Airlines,DTW,RSW,15,STORM,-19
OO5305,GoAir,ONT,SFO,15,STORM,-23
UA317,Air India,SFO,IND,15,CLOUDY,-39
DL1826,Delta,FLL,ATL,15,FOG,3
DL425,Delta,JFK,ATL,15,RAIN,-8
DL696,Delta,LEX,ATL,15,CLOUDY,-8
DL950,Delta,ATL,TPA,15,CLEAR,-7
DL960,Delta,MSP,JAX,15,CLOUDY,-14
DL2335,Delta,DTW,BDL,15,SUNNY,-3
EV4289,IndiGo,IAH,LFT,15,RAIN,-19
EV4540,IndiGo,IAH,PNS,15,CLOUDY,-6
EV5441,GoAir,ATL,AVL,15,CLOUDY,-18
EV5909,SpiceJet,MSY,ORD,15,CLEAR,-26
F91330,AirAsia,ORD,TPA,15,CLEAR,-13
HA30,Akasa Air,OGG,SEA,15,CLOUDY,9
NK720,Spirit Airlines,LAX,LAS,15,SUNNY,7
OO3448,Vistara,PDX,FAT,15,FOG,-25
OO7364,IndiGo,ABR,MSP,15,SUNNY,115
UA710,Vistara,DEN,SAN,15,CLOUDY,-13
UA1680,Vistara,IAH,TPA,15,SUNNY,5
UA239,Vistara,DEN,ORD,15,RAIN,-26
UA259,Vistara,RSW,DEN,15,CLOUDY,-7
UA365,SpiceJet,DEN,CLE,15,SUNNY,-11
OO6249,Vistara,SFO,MMH,15,FOG,11
WN407,Air India,DEN,PHX,15,CLEAR,1
WN1456,GoAir,ABQ,DAL,15,FOG,12
WN5577,Akasa Air,BDL,BWI,15,RAIN,7
WN1133,Vistara,BNA,MDW,15,FOG,-2
WN1509,AirAsia,BWI,ALB,15,FOG,-13
WN3442,SpiceJet,SNA,SEA,15,CLOUDY,3
WN3929,Akasa Air,STL,MCI,15,FOG,1
WN5253,Vistara,LAS,SAN,15,CLEAR,15
WN2831,IndiGo,LAX,SFO,15,SNOW,3
WN5277,IndiGo,MCI,STL,15,SNOW,-3
WN3721,GoAir,MSY,HOU,15,RAIN,-9
WN5087,Akasa Air,PDX,SMF,15,RAIN,-9
WN282,GoAir,PHX,BUR,15,SNOW,3
WN3137,Vistara,SAN,DAL,15,FOG,8
WN3103,AirAsia,SEA,LAS,15,SNOW,70
AA143,American Airlines,DFW,BOS,15,CLEAR,-24
AA1621,American Airlines,LGA,MIA,15,RAIN,-18
AA2316,American Airlines,PHL,DFW,15,RAIN,42
AA468,American Airlines,TPA,CLT,15,CLOUDY,6
AA609,American Airlines,ATL,CLT,15,STORM,5
AA724,American Airlines,MCO,CLT,15,STORM,8
AA2052,American Airlines,BWI,CLT,15,CLEAR,0
B6222,GoAir,PBI,BOS,15,STORM,-12
B61131,SpiceJet,CHS,FLL,15,SNOW,-23
AS592,Alaska Airlines,PDX,SNA,15,SNOW,8
DL1489,Delta,IAH,ATL,15,RAIN,-21
MQ3287,IndiGo,GRR,ORD,15,CLEAR,13
UA1285,Akasa Air,IAH,ORD,15,FOG,-26
UA1605,IndiGo,EWR,LAS,15,SUNNY,-12
AA1358,American Airlines,ORD,LAX,15,FOG,-16
OO6227,SpiceJet,FAT,DEN,15,CLEAR,-32
UA1101,Air India,FLL,DEN,15,CLEAR,-23
UA1719,Vistara,SFO,ANC,15,SNOW,-1
UA292,AirAsia,SFO,MCO,15,CLEAR,-37
EV2850,Vistara,MAF,DFW,15,FOG,-12
HA147,AirAsia,KOA,HNL,15,SNOW,0
OO4532,SpiceJet,DTW,PIA,15,RAIN,18
UA208,GoAir,MCO,IAD,15,CLOUDY,-18
AA2475,American Airlines,ORD,SFO,15,CLEAR,-17
DL412,Delta,MIA,JFK,15,STORM,-1
EV2823,GoAir,BTR,DFW,15,CLOUDY,3
EV5892,IndiGo,LGA,CLE,15,STORM,-19
MQ3404,SpiceJet,SUX,ORD,15,SUNNY,-15
NK427,Spirit Airlines,MSP,TPA,15,FOG,-15
DL1743,Delta,FLL,BOS,15,SNOW,298
DL1982,Delta,LGA,MIA,15,CLEAR,-23
DL2035,Delta,MKE,ATL,15,SNOW,-12
EV2730,Akasa Air,PIB,DFW,15,STORM,8
DL1221,Delta,OKC,ATL,15,RAIN,-13
DL2599,Delta,BNA,ATL,15,SUNNY,-17
DL2629,Delta,DTW,ORD,15,CLOUDY,-1
EV4337,Air India,IAH,ICT,15,CLOUDY,-19
EV5423,Vistara,MSP,CLE,15,RAIN,-21
EV5460,IndiGo,ATL,BMI,15,CLOUDY,-4
F91196,GoAir,IND,MCO,15,RAIN,7
MQ3307,IndiGo,DFW,XNA,15,CLOUDY,6
MQ3436,Akasa Air,MIA,GNV,15,CLEAR,-15
NK245,Spirit Airlines,ORD,LAS,15,STORM,20
OO3483,GoAir,SAN,BOI,15,CLOUDY,-19
OO4557,Akasa Air,DTW,MKE,15,RAIN,22
OO5340,Akasa Air,LAX,SBP,15,STORM,-12
UA1594,IndiGo,IAH,SFO,15,STORM,20
WN178,GoAir,DAL,PDX,15,CLOUDY,-10
WN6899,AirAsia,DAL,SAT,15,SUNNY,-7
WN5047,SpiceJet,BUF,BWI,15,SNOW,-6
WN3492,Vistara,TPA,CAK,15,CLOUDY,-9
WN5079,AirAsia,IND,MCI,15,SNOW,67
WN3708,Akasa Air,LAS,BDL,15,STORM,-28
WN887,AirAsia,LAS,OAK,15,CLEAR,27
WN5133,Air India,LAS,SLC,15,SNOW,26
WN3754,SpiceJet,MDW,MCO,15,SNOW,4
WN3286,Air India,MDW,PHL,15,CLEAR,4
WN5205,GoAir,OAK,LAS,15,RAIN,23
WN3480,AirAsia,PHX,ONT,15,RAIN,-3
WN2268,Akasa Air,PHX,SFO,15,FOG,-8
WN3635,Air India,RDU,STL,15,FOG,17
WN3858,Akasa Air,SFO,DEN,15,CLEAR,42
WN3162,AirAsia,SJC,BUR,15,CLEAR,38
AA101,American Airlines,JFK,DCA,15,SNOW,-3
AA1634,American Airlines,DFW,DEN,15,SUNNY,3
AA2496,American Airlines,DFW,LAX,15,FOG,-3
AA764,American Airlines,PHL,SJU,15,CLEAR,42
B61979,AirAsia,DCA,FLL,15,SNOW,-10
AS37,Alaska Airlines,MSP,SEA,15,FOG,-15
DL1750,Delta,MCI,ATL,15,SNOW,0
DL1431,Delta,MSY,MSP,15,SNOW,-6
MQ3152,Akasa Air,BNA,ORD,15,CLEAR,-19
AA426,American Airlines,AUS,PHX,15,CLEAR,-2
DL2245,Delta,RSW,MSP,15,CLEAR,11
EV5063,SpiceJet,TUL,ATL,15,FOG,-4
MQ3088,IndiGo,SGF,ORD,15,SUNNY,-9
B61065,Akasa Air,BOS,RSW,15,STORM,5
B61615,Vistara,BOS,BUF,15,SNOW,-7
EV4286,AirAsia,IAH,ATL,15,SUNNY,-22
EV4959,SpiceJet,DTW,ORF,15,SNOW,1
HA301,SpiceJet,ITO,HNL,15,FOG,-4
DL2133,Delta,CLT,ATL,15,SUNNY,-23
EV2841,IndiGo,TUL,ORD,15,CLOUDY,-12
MQ3269,GoAir,CID,ORD,15,STORM,-8
OO7410,IndiGo,DTW,MQT,15,FOG,51
B62067,Vistara,HPN,PBI,15,STORM,-18
DL1691,Delta,PBI,DTW,15,FOG,9
DL1805,Delta,DTW,MCO,15,CLOUDY,-4
DL1926,Delta,MIA,LGA,15,CLOUDY,-2
DL2023,Delta,TPA,ATL,15,FOG,10
DL2055,Delta,DAL,ATL,15,SNOW,-12
DL2084,Delta,STL,ATL,15,SNOW,-16
DL419,Delta,JFK,LAX,15,STORM,-23
DL802,Delta,ATL,LGA,15,SNOW,-28
DL1245,Delta,GSP,ATL,15,STORM,-3
DL1330,Delta,LAX,MEM,15,STORM,-12
DL1442,Delta,FLL,LGA,15,SNOW,-22
EV2824,Air India,DFW,TYS,15,STORM,212
F91391,Air India,CLE,RSW,15,FOG,-25
F9589,SpiceJet,TYS,DEN,15,RAIN,-2
HA183,IndiGo,HNL,LIH,15,RAIN,10
MQ3170,IndiGo,FAR,ORD,15,STORM,-26
MQ3191,GoAir,OKC,ORD,15,SNOW,23
MQ3391,AirAsia,ORD,FWA,15,CLEAR,-6
MQ3485,AirAsia,OMA,ORD,15,STORM,-23
OO4460,SpiceJet,DTW,MBS,15,STORM,7
OO4474,Akasa Air,MSP,GRB,15,SUNNY,-10
OO4781,Air India,DTW,LAN,15,STORM,19
OO5220,Akasa Air,DFW,IAH,15,RAIN,-6
OO5177,Air India,ORD,FAR,15,RAIN,-1
VX933,AirAsia,LAX,SFO,15,STORM,-11
WN3466,IndiGo,CMH,BOS,15,CLEAR,-11
WN3069,SpiceJet,CMH,MDW,15,CLOUDY,23
WN3171,Akasa Air,DEN,HOU,15,RAIN,-5
WN2021,IndiGo,ATL,PHL,15,CLOUDY,-4
WN5027,SpiceJet,BWI,PWM,15,CLEAR,9
WN1446,Air India,STL,SNA,15,RAIN,-9
WN2073,SpiceJet,TPA,ATL,15,CLEAR,1
WN2980,SpiceJet,TUS,LAS,15,CLEAR,11
WN1828,Vistara,EWR,MDW,15,CLEAR,57
WN3217,Air India,HOU,ATL,15,STORM,-5
WN765,SpiceJet,LAX,OAK,15,RAIN,125
WN2104,Air India,LAX,PHX,15,CLOUDY,42
WN464,IndiGo,MCO,MKE,15,FOG,-16
WN3459,Air India,MCO,SJU,15,STORM,-3
WN2527,SpiceJet,MDW,LGA,15,RAIN,-11
WN5307,Vistara,PHX,HOU,15,CLOUDY,-4
WN5183,Akasa Air,PHX,OAK,15,SNOW,-11
WN1642,Air India,SAT,LAS,15,SUNNY,-9
WN3486,Vistara,SJC,LAX,15,SNOW,22
WN2879,Air India,SJC,SNA,15,RAIN,-11
WN2963,Akasa Air,SJU,MCO,15,SNOW,-27
AA65,American Airlines,JFK,MIA,15,CLOUDY,-10
AA199,American Airlines,JFK,BOS,15,STORM,-14
AA184,American Airlines,DFW,SEA,15,STORM,-27
AA249,American Airlines,DFW,SFO,15,STORM,-5
AA1052,American Airlines,RDU,DFW,15,STORM,22
AA1382,American Airlines,DFW,IND,15,STORM,-15
AA1521,American Airlines,MIA,RDU,15,CLEAR,-18
AA2361,American Airlines,DFW,BWI,15,SNOW,-20
AA477,American Airlines,SFO,PHX,15,CLOUDY,-13
AA1698,American Airlines,PHL,RSW,15,CLEAR,-10
AA1747,American Airlines,ORD,CLT,15,SUNNY,0
AA2022,American Airlines,PHL,FLL,15,RAIN,-25
AS868,Alaska Airlines,LIH,OAK,15,CLOUDY,-37
B61729,SpiceJet,JFK,RSW,15,CLEAR,-4
B61304,Air India,SJU,JFK,15,SNOW,-21
B61417,Akasa Air,AUS,LGB,15,STORM,-11
EV5340,Vistara,EWN,ATL,15,CLOUDY,-12
HA334,SpiceJet,HNL,OGG,15,RAIN,9
EV4502,SpiceJet,PIA,ORD,15,CLOUDY,17
OO5315,Air India,DVL,DEN,15,SUNNY,11
AA1325,American Airlines,TPA,MIA,15,STORM,-14
AA2464,American Airlines,MCO,DFW,15,FOG,-15
DL1490,Delta,DTW,LAS,15,STORM,-2
EV4973,Akasa Air,ATL,GTR,15,RAIN,-13
MQ3200,IndiGo,IND,ORD,15,CLOUDY,-20
MQ3399,Air India,MCI,ORD,15,SNOW,-16
OO4584,GoAir,OMA,MSP,15,CLEAR,-6
OO4646,IndiGo,MSP,SAT,15,RAIN,5
B653,IndiGo,JFK,PBI,15,CLEAR,2
OO7374,Vistara,BRD,MSP,15,CLOUDY,-14
UA476,Air India,FLL,ORD,15,SUNNY,-26
UA406,IndiGo,DEN,LGA,15,SNOW,-20
DL2297,Delta,JAX,ATL,15,CLEAR,18
EV2778,AirAsia,VPS,DFW,15,FOG,2
EV2828,SpiceJet,DFW,MLU,15,CLEAR,-2
F9251,Air India,IAH,DEN,15,FOG,154
MQ3035,Akasa Air,DFW,SGF,15,CLOUDY,-15
MQ3114,Akasa Air,LIT,DFW,15,RAIN,38
MQ3252,IndiGo,DFW,AMA,15,RAIN,14
OO3421,GoAir,SLC,SEA,15,STORM,-19
OO2925,AirAsia,ICT,ORD,15,SUNNY,-14
UA560,Akasa Air,IAD,SFO,15,FOG,-19
UA297,AirAsia,ORD,MSP,15,RAIN,-21
UA354,SpiceJet,IAH,SAT,15,RAIN,17
VX416,Air India,LAX,JFK,15,SUNNY,122
WN3848,Akasa Air,DAL,AUS,15,RAIN,11
WN5550,AirAsia,DEN,BWI,15,FOG,-14
WN647,IndiGo,DEN,OKC,15,RAIN,-4
WN749,AirAsia,ATL,MCI,15,SUNNY,11
WN1555,AirAsia,BWI,MHT,15,STORM,-10
WN1356,Vistara,STL,DEN,15,RAIN,-8
WN3720,Air India,TPA,BWI,15,CLOUDY,2
WN2627,GoAir,MCI,MCO,15,SUNNY,-10
WN3361,Vistara,OAK,DEN,15,CLEAR,-13
WN1730,GoAir,OAK,PHX,15,CLEAR,-3
WN2595,GoAir,ONT,PHX,15,STORM,70
WN1976,Vistara,SAT,BWI,15,SUNNY,-3
WN3056,Air India,SEA,DEN,15,CLEAR,12
WN2352,AirAsia,SJU,BWI,15,SUNNY,-27
AA343,American Airlines,LGA,ORD,15,CLOUDY,-25
AA1242,American Airlines,DEN,DFW,15,CLEAR,23
AA2256,American Airlines,DFW,IAH,15,STORM,5
AA463,American Airlines,SJU,CLT,15,SUNNY,-13
AA473,American Airlines,PHX,MSP,15,SNOW,25
AA549,American Airlines,PHL,RDU,15,CLOUDY,-2
AA642,American Airlines,PHX,DEN,15,CLEAR,2
AA772,American Airlines,SJU,PHL,15,SUNNY,8
AA1823,American Airlines,PHL,PHX,15,CLEAR,12
AA1920,American Airlines,IAH,CLT,15,SUNNY,-3
AA1983,American Airlines,PHL,PBI,15,SUNNY,1
AS856,Alaska Airlines,KOA,SJC,15,SNOW,2
B61041,IndiGo,JFK,SAV,15,CLEAR,10
B6952,SpiceJet,MCO,BOS,15,RAIN,-22
AS335,Alaska Airlines,SJC,SEA,15,STORM,-9
AS486,Alaska Airlines,SEA,SAN,15,SUNNY,-8
AS633,Alaska Airlines,PHX,SEA,15,CLEAR,-21
DL1829,Delta,MIA,DTW,15,CLOUDY,-13
EV2803,Vistara,PNS,DFW,15,SNOW,36
EV4112,GoAir,IAH,DSM,15,FOG,-7
EV5064,SpiceJet,DTW,CHS,15,CLEAR,-6
OO7406,SpiceJet,DTW,ITH,15,STORM,9
EV4137,Vistara,ORD,AZO,15,RAIN,-23
MQ3638,AirAsia,XNA,ORD,15,RAIN,-10
NK363,Spirit Airlines,ATL,IAH,15,SNOW,20
OO5472,Air India,ORD,SPI,15,CLEAR,-11
OO5331,GoAir,ORD,FWA,15,CLOUDY,2
OO7367,GoAir,DTW,APN,15,FOG,15
UA1985,IndiGo,EWR,RSW,15,RAIN,-24
OO6449,Air India,ORD,DSM,15,RAIN,69
B61315,Akasa Air,JAX,FLL,15,SNOW,100
DL1537,Delta,RSW,DTW,15,FOG,-11
DL1704,Delta,DTW,FLL,15,SUNNY,-12
EV4217,Air India,IAH,CRP,15,STORM,6
EV6164,SpiceJet,ORD,LEX,15,FOG,14
NK728,Spirit Airlines,TPA,ORD,15,CLOUDY,14
UA1869,Air India,IAH,FLL,15,SUNNY,-10
DL1237,Delta,DTW,IND,15,SUNNY,7
EV2819,IndiGo,JAN,DFW,15,SUNNY,-10
EV4278,IndiGo,ORD,ATW,15,RAIN,2
HA384,SpiceJet,LIH,HNL,15,SUNNY,8
DL373,Delta,DTW,SFO,15,SNOW,-18
DL771,Delta,DTW,RSW,15,CLEAR,-8
MQ3201,Air India,BHM,MIA,15,FOG,-2
MQ3299,GoAir,DFW,ICT,15,SUNNY,-14
MQ3369,Akasa Air,FWA,ORD,15,CLEAR,-27
MQ3559,Vistara,DFW,MHK,15,CLOUDY,-17
NK869,Spirit Airlines,DFW,LAX,15,FOG,5
MQ3210,IndiGo,DFW,MAF,15,SUNNY,12
UA793,Akasa Air,ORD,LAX,15,FOG,-19
UA257,AirAsia,MCO,DEN,15,STORM,-43
VX909,Vistara,LAS,SFO,15,CLOUDY,3
WN5573,Vistara,DCA,MSY,15,STORM,-10
WN3434,IndiGo,DEN,LAS,15,CLEAR,23
WN1617,GoAir,ATL,CMH,15,RAIN,1
WN5601,Akasa Air,ATL,DTW,15,RAIN,-14
WN5190,Vistara,ATL,MKE,15,RAIN,13
WN3445,Vistara,ATL,MSP,15,CLEAR,17
WN3714,AirAsia,AUS,DEN,15,SUNNY,-14
WN3547,SpiceJet,BNA,TPA,15,FOG,-9
WN3995,GoAir,BWI,CHS,15,FOG,-3
WN1343,AirAsia,BWI,MCO,15,CLEAR,-16
WN5503,Air India,SNA,SJC,15,RAIN,9
WN3444,Akasa Air,STL,PHX,15,CLOUDY,24
WN3670,AirAsia,TUL,PHX,15,FOG,-11
WN2129,GoAir,FLL,BWI,15,SNOW,-13
WN5126,Akasa Air,LAS,ABQ,15,FOG,15
WN315,Air India,LAX,LAS,15,SNOW,22
WN1468,GoAir,MCO,DEN,15,SUNNY,-7
WN3580,GoAir,MCO,SAT,15,FOG,-7
WN5282,IndiGo,MDW,PIT,15,CLEAR,-11
WN348,AirAsia,PHX,SLC,15,RAIN,4
WN5602,Vistara,SFO,SAN,15,CLOUDY,-6
AA251,American Airlines,MIA,TPA,15,CLOUDY,-6
AA1194,American Airlines,DFW,SAN,15,CLOUDY,-2
AA498,American Airlines,PHX,DCA,15,CLEAR,-20
AA735,American Airlines,PHL,LAS,15,SUNNY,17
AA783,American Airlines,ORD,PHL,15,SNOW,-9
AA1712,American Airlines,PHX,PHL,15,STORM,-30
AA1781,American Airlines,LGA,CLT,15,CLOUDY,-8
B6284,Vistara,MCO,JFK,15,CLOUDY,47
AS88,Alaska Airlines,ANC,SEA,15,SUNNY,15
AS103,Alaska Airlines,SEA,ANC,15,RAIN,-15
AS322,Alaska Airlines,SEA,SJC,15,CLOUDY,-2
AS542,Alaska Airlines,SEA,LAX,15,CLEAR,3
AS677,Alaska Airlines,DEN,SEA,15,STORM,24
AS812,Alaska Airlines,OGG,SJC,15,FOG,-33
DL1582,Delta,ATL,OMA,15,STORM,7
UA318,Vistara,SFO,DEN,15,FOG,-27
DL1188,Delta,DTW,PHX,15,CLOUDY,8
OO5630,SpiceJet,BOI,LAX,15,CLEAR,7
UA587,Vistara,SEA,SFO,15,FOG,-21
UA1121,Akasa Air,IAH,LAX,15,SUNNY,-2
AA2358,American Airlines,MSY,DFW,15,FOG,-12
EV4593,SpiceJet,IAH,BHM,15,CLOUDY,-3
EV4653,IndiGo,IAH,MOB,15,RAIN,-10
OO4979,IndiGo,IAH,MKE,15,FOG,-6
UA454,Air India,LAX,OGG,15,SNOW,-7
B6511,Air India,FLL,AUS,15,CLEAR,-7
DL2615,Delta,PIT,ATL,15,CLOUDY,-9
NK645,Spirit Airlines,DTW,TPA,15,CLEAR,1
OO6476,GoAir,SFO,MFR,15,SNOW,-7
OO6514,IndiGo,SFO,SEA,15,RAIN,-7
OO6238,Akasa Air,SFO,PSP,15,RAIN,-32
AA1020,American Airlines,MSP,ORD,15,SUNNY,1
AA671,American Airlines,CLT,ATL,15,CLOUDY,-3
AA2032,American Airlines,CLT,JAX,15,SNOW,21
